friends_screen_name,created_at,friends_count,followers_count,tweet_count
mariojudah_,2020-10-05 00:00:13+08:00,0,134428,167
CBSThisMorning,2008-11-04 01:05:29+08:00,3018,457992,160748
LukeBryanOnline,2008-10-31 05:14:38+08:00,10546,9400683,7949
LanaDelRey,2009-06-07 10:29:09+08:00,1216,9795319,370
CapitolRecords,2009-06-25 10:02:24+08:00,1000,451764,36581
yebbasmith,2018-03-29 06:50:33+08:00,206,31221,1146
lilyallen,2008-10-27 21:23:17+08:00,2461,5215988,33531
AaliyahHaughton,2009-01-24 13:55:49+08:00,486,141051,8347
KONGOS,2009-04-18 02:36:36+08:00,107,36603,10322
carlcraignet,2009-07-23 23:42:36+08:00,206,90008,13187
TheWallflowers,2011-10-15 01:37:43+08:00,34,13693,651
Calibre50,2014-05-20 02:31:40+08:00,105,61829,4515
kacyhill,2012-08-06 01:29:41+08:00,381,19302,4992
Olamide,2010-09-14 09:46:04+08:00,2253,4483579,44237
K7records,2009-03-18 21:23:40+08:00,1133,15637,5983
ABBA,2018-06-08 17:08:19+08:00,1,96394,371
AppleTVPlus,2019-02-01 08:28:54+08:00,1,34295,0
OTHERtone,2015-06-20 05:06:05+08:00,122,1249,591
reBELLYus,2009-06-12 00:55:48+08:00,1248,185844,17317
jungle4eva,2018-02-08 15:58:17+08:00,36,14666,623
temsbaby,2013-04-04 23:05:19+08:00,243,501560,5491
thelesliejordan,2010-06-18 12:52:33+08:00,745,184706,3285
debnever,2017-06-26 16:19:52+08:00,72,17397,493
Jakeshears,2009-02-17 13:24:26+08:00,1159,87834,11583
depechemode,2009-03-25 06:52:15+08:00,5720,2187367,1347
jackharlow,2009-07-31 08:24:20+08:00,746,692009,2695
larsulrich,2011-08-05 07:18:14+08:00,76,139842,482
maisiehpeters,2013-04-20 00:20:25+08:00,354,43708,17075
Official_Tink,2011-02-02 07:20:06+08:00,1439,480544,90997
Aventura,2009-04-06 02:42:49+08:00,4,1415310,3880
seanonolennon,2008-11-17 05:00:29+08:00,3075,325788,25507
silksonic,2013-06-06 04:38:37+08:00,6,100305,128
isaiahrashad,2010-04-23 09:48:35+08:00,1047,603621,48212
satgotloco,2011-08-27 00:26:38+08:00,357,253371,4503
_Weeekly,2017-06-14 17:16:23+08:00,1,246045,5135
_IUofficial,2018-08-01 10:46:46+08:00,0,1092116,1126
telemitry,2009-10-05 08:02:36+08:00,255,1085,3057
TeamAriana,2013-07-24 05:17:22+08:00,457,457820,2451
iamyola,2013-12-13 05:34:05+08:00,277,18713,3797
jakewrogers,2009-03-21 11:32:11+08:00,334,3282,1627
carlypearce,2009-03-08 02:02:21+08:00,366,115266,23387
swedishousemfia,2009-04-23 08:39:15+08:00,6,2006329,373
Mabel,2015-07-08 03:09:45+08:00,438,159692,3583
Santandave1,2012-03-29 05:59:12+08:00,1221,738534,3374
jpsaxe,2009-08-12 13:53:49+08:00,523,23018,7083
bastilledan,2021-06-23 02:14:38+08:00,62,12511,137
BRMadjv,2018-10-10 04:24:09+08:00,16,20181,294
thecure,2012-01-26 19:49:31+08:00,1,169825,464
RobertSmith,2009-01-16 11:55:15+08:00,314,127157,516
ARamosofficial,2015-07-15 00:44:18+08:00,347,379884,2389
kennybeats,2009-05-17 23:58:34+08:00,688,415884,1287
jsullivanmusic,2009-03-10 00:54:15+08:00,154,591887,5557
lizrose06,2009-06-19 10:38:39+08:00,113,4377,3903
LoriMcKennaMA,2009-06-15 01:49:23+08:00,364,22408,8349
thisiswatt,2009-04-09 06:21:58+08:00,438,23255,6748
DJClarkKent,2009-11-10 03:04:23+08:00,106,89429,51437
loneamorphous,2009-11-15 06:22:45+08:00,2527,99836,74539
bellapoarch,2020-04-24 11:25:59+08:00,87,766405,838
birdy,2011-03-23 21:25:01+08:00,179,314771,2356
jonasbrothers,2009-03-14 07:53:18+08:00,2205,4771562,8475
angeliquekidjo,2009-09-01 23:18:46+08:00,399,77501,4688
wiffygriffy,2018-11-22 18:05:56+08:00,103,16400,567
hunterkelly,2009-03-19 05:36:23+08:00,2163,8065,25124
DGclassics,2009-04-29 18:36:55+08:00,995,99878,21606
LAPhil,2008-09-23 06:45:27+08:00,722,70334,10461
bastaakanoggano,2010-11-02 03:22:46+08:00,184,328914,17792
UncleSego,2010-07-23 06:00:35+08:00,368,228049,44253
yungbae,2015-01-18 10:28:18+08:00,424,45474,2356
GRMDAILY,2009-03-05 22:11:41+08:00,796,393208,132338
DojaCat,2012-05-02 05:14:18+08:00,0,3636992,1427
SAINtJHN,2010-05-14 02:07:43+08:00,130,85288,5692
LootLove,2009-12-15 00:27:55+08:00,744,816438,100805
FousheeLive,2010-12-06 04:42:29+08:00,372,11089,4116
DaMFunK,2009-01-24 06:31:59+08:00,14747,64040,60129
tsha909,2010-09-26 01:58:22+08:00,482,3228,6176
MariaBecerra22,2015-08-21 20:34:24+08:00,195,1508554,10190
easylife,2016-08-15 08:17:52+08:00,143,27217,4333
YungMiami305,2020-05-09 12:07:01+08:00,91,957709,5300
ThegirlJT,2011-12-22 14:49:02+08:00,152,1518598,4242
Dolby,2008-08-14 23:30:30+08:00,3228,59671,18296
jhaycortez,2013-01-31 05:58:48+08:00,448,613157,14999
Anitta,2010-05-09 11:58:23+08:00,732,14653232,50815
MaddieandTae,2012-10-30 11:09:24+08:00,2407,172975,7720
OfficialJackson,2009-06-18 06:29:58+08:00,428,588178,2026
_girlinred_,2018-03-26 18:57:21+08:00,103,295631,1054
morrayda1,2020-05-01 11:07:18+08:00,45,30122,395
BlackPumasMusic,2018-04-10 04:45:10+08:00,420,24927,6113
Jbrekkie,2015-02-24 14:05:43+08:00,516,99575,10073
royalblooduk,2011-06-03 01:29:08+08:00,153,240547,3037
TrickyStewart,2009-02-24 12:07:16+08:00,384,48241,5345
ashleymonroe,2009-02-16 21:35:57+08:00,321,124079,7230
liltjay,2017-04-25 09:10:43+08:00,189,713141,1153
TianaMajor9,2013-12-07 07:20:10+08:00,489,9205,19860
illmindPRODUCER,2008-12-27 22:17:23+08:00,2474,104643,73915
guapdad4000,2014-12-16 16:48:06+08:00,1946,95048,46461
serjtankian,2009-01-30 01:22:30+08:00,76,615649,3835
systemofadown,2010-02-03 03:27:00+08:00,6,1445358,595
MrEddieHuang,2009-02-03 11:51:31+08:00,1462,112090,23621
nattdunn_,2009-03-19 11:54:41+08:00,1077,1182,3066
hayden_james,2013-05-22 14:54:56+08:00,405,8989,5244
zionylennoxpr,2009-05-16 03:02:17+08:00,815,1871715,17154
JadAbumrad,2010-04-21 07:51:29+08:00,598,318291,5793
davido,2010-09-20 23:55:08+08:00,993,9633554,52165
TeniEntertainer,2011-04-01 13:11:56+08:00,846,1128381,50197
piso21music,2009-08-30 03:16:01+08:00,3749,440416,29802
iStarrah,2010-07-17 09:19:50+08:00,164,16223,29440
TenilleArts,2012-09-08 04:29:23+08:00,1147,12164,11500
Fancyhagood,2014-07-31 08:18:28+08:00,152,20165,4243
yeaabk,2012-01-04 06:49:23+08:00,57,13359,1918
dinosaurjr,2009-02-03 11:39:46+08:00,136,76324,2102
claudmp3,2013-05-06 08:58:25+08:00,176,17105,3039
IssaRae,2009-09-30 13:46:14+08:00,1464,1578166,653
didoofficial,2009-01-11 19:03:29+08:00,484,116650,1556
nodoubt,2009-04-02 05:57:41+08:00,10,514778,3536
mariojudah,2020-10-05 00:00:13+08:00,0,132909,168
ArcticMonkeys,2009-06-22 22:04:55+08:00,0,1709607,717
NyckCaution,2012-03-21 12:50:53+08:00,611,78329,10874
PROERA,2011-10-02 12:42:12+08:00,75,118569,13596
julienrbaker,2015-07-14 06:15:44+08:00,565,116715,1655
rhye,2012-02-02 09:01:13+08:00,252,18594,2115
BeeGees,2015-01-28 04:05:34+08:00,41,37739,987
ElvisCostello,2009-02-05 11:32:51+08:00,132,122920,4353
shaedband,2011-02-23 14:33:47+08:00,119,8300,3500
FredoBang,2011-07-23 15:38:57+08:00,360,180446,14338
YBNNahmir,2015-03-14 16:00:47+08:00,262,156400,5857
alexander23,2013-10-16 00:45:30+08:00,222,30485,3407
KING_SALIEU,2019-05-18 06:10:20+08:00,258,12634,753
RiversCuomo,2008-04-08 05:31:51+08:00,2448,1135223,558
arloparks,2018-11-22 20:59:40+08:00,253,34332,2027
nickcarter,2009-03-14 12:06:34+08:00,2399,668745,17267
djspinna,2008-11-17 23:30:31+08:00,1886,40408,18908
Spindeezy,2009-03-12 07:53:12+08:00,1095,112742,41928
StretchArmy,2009-03-28 01:26:03+08:00,962,37435,20767
iAmErickSermon,2010-11-09 22:04:27+08:00,4339,68507,9274
IanMunsick,2013-01-15 09:05:43+08:00,33,13257,4662
ashnikko,2009-10-26 20:56:09+08:00,214,197330,2852
Olivia_Rodrigo,2015-05-18 01:27:07+08:00,299,1515906,822
joeboyofficial,2013-02-27 03:06:35+08:00,586,752031,26408
Elioirl,2020-03-03 09:07:29+08:00,187,2605,614
celeste,2016-08-17 19:19:44+08:00,108,20773,1009
pooh_shiesty,2015-06-11 12:41:31+08:00,585,311086,869
laineywilson,2011-05-27 01:00:57+08:00,517,10464,3657
dutchavelli1,2020-01-21 04:43:17+08:00,45,21983,813
wallowsmusic,2017-03-29 08:01:37+08:00,210,328420,2065
ItsBennyBlanco,2009-03-07 00:26:08+08:00,305,142282,13643
BONNIEXCLYDE,2012-02-27 06:16:28+08:00,9884,29945,8995
RodneyJerkins,2009-11-17 12:02:28+08:00,1094,183194,10523
tonesandimusic,2019-02-13 13:21:36+08:00,67,25386,679
jackantonoff,2011-11-17 14:33:02+08:00,138,283429,1193
ManuelTurizoMTZ,2017-09-20 02:54:25+08:00,32,243092,1061
ParkerMcCollum,2012-05-12 05:27:48+08:00,963,257716,1785
gorillaz,2009-04-02 00:23:39+08:00,191,925028,2651
benchten,2010-06-23 14:34:49+08:00,1279,25452,45117
MikeCampbellHQ,2018-04-26 01:36:18+08:00,3,7455,192
TobeNwigwe,2009-04-25 04:06:40+08:00,157,45264,6583
spicegirls,2018-10-05 16:56:31+08:00,82,109121,1241
147Calboy,2014-11-18 10:34:42+08:00,172,295836,23004
phoebe_bridgers,2012-05-09 01:08:50+08:00,763,474644,8083
benjimadden,2009-04-01 02:28:53+08:00,463,463608,360
DjOrmaOficial,2012-10-17 02:49:40+08:00,611,13301,85374
beabad00bee,2018-10-08 20:03:19+08:00,59,101563,760
babykeem,2014-04-02 12:43:21+08:00,28,168901,958
CarlaMorrisonmx,2009-06-04 05:40:44+08:00,2,1674387,40918
Billy,2009-03-20 09:50:46+08:00,305,266779,1365
PublicEnemyFTP,2012-03-09 02:16:06+08:00,4050,141415,13041
AlisonKrauss,2009-01-15 23:00:08+08:00,7,109443,530
merlehaggard,2012-04-10 08:54:06+08:00,4719,197826,531
NeilDiamond,2009-01-08 12:19:20+08:00,19,845920,658
TEEDinosaurs,2010-01-02 07:02:39+08:00,1389,42930,13620
Hit_Boy,2009-03-12 11:16:50+08:00,101,232367,6400
PhilCollinsFeed,2010-06-29 17:29:58+08:00,0,182595,367
folamourbb,2011-04-22 02:26:14+08:00,119,5048,713
tatemcrae,2014-01-16 01:25:47+08:00,1047,69837,2180
crystalshawanda,2009-04-25 04:34:30+08:00,2339,8704,16909
Fuerza_regida,2017-12-29 13:52:30+08:00,16,30214,332
TheVandals,2009-04-07 02:33:16+08:00,76,25014,1729
MitchyCollins,2009-03-02 13:06:24+08:00,542,49429,28029
Balmain,2012-04-10 03:10:10+08:00,1036,566164,5130
DjDiegoMasacre,2010-07-26 10:36:19+08:00,853,7036,18656
RemiBurgz,2009-12-14 07:03:26+08:00,1001,5110,37836
breland,2019-12-20 07:44:06+08:00,51,3473,385
JOHNNYSWIM,2009-02-17 22:32:26+08:00,428,35169,16019
tanyatucker,2009-06-23 23:36:26+08:00,310,41073,1413
LarkinPoe,2010-01-11 00:27:30+08:00,392,28500,10209
marilynmanson,2009-04-02 05:54:06+08:00,683,1174247,1195
janewiedlin,2008-10-08 10:34:18+08:00,243,35593,19197
ArcangelPrrra,2009-09-11 04:11:05+08:00,459,1979819,26531
giveon,2017-03-03 18:05:00+08:00,8,318477,1028
ChristianAcosta,2008-09-18 06:55:25+08:00,1747,311087,5773
GOYOCQT,2010-04-25 10:32:47+08:00,1321,225496,15147
topicmusictv,2014-01-16 20:56:21+08:00,240,91720,3341
DMX,2011-08-08 10:25:47+08:00,46,366118,285
thelox,2013-12-18 06:57:31+08:00,208,26220,1664
WillieJones,2009-04-25 11:28:10+08:00,3353,172574,10945
Lauren_Alaina,2011-02-23 14:03:55+08:00,2645,665968,10799
timecrisis2000,2016-12-18 11:20:53+08:00,117,21052,4615
dongstreth,2013-08-20 15:41:50+08:00,1253,7299,2282
JasonIsbell,2009-03-28 12:38:13+08:00,5626,404174,40361
elguruofficial1,2019-02-28 15:12:25+08:00,59,220,120
dayglowband,2017-10-13 05:41:52+08:00,13,26732,477
tonyhawk,2009-02-25 23:52:43+08:00,9956,4545464,12934
RBD_oficial,2020-06-26 01:30:01+08:00,19,186009,1003
findingfletcher,2011-08-11 10:05:15+08:00,3424,135393,17054
BuffaloBills,2009-03-18 22:54:37+08:00,395,1181076,65679
EWood70,2010-12-28 23:02:04+08:00,1042,104111,8282
YoungsTeflon,2010-01-25 20:42:18+08:00,1092,54600,87865
24kGoldn,2013-03-10 01:55:27+08:00,452,113905,3841
InternetMoney,2016-12-08 03:07:43+08:00,39,112509,13
DizzeeRascal,2009-01-26 19:45:36+08:00,0,377293,13953
MavericksMusic,2012-02-23 03:44:58+08:00,1918,13719,8225
JoelCorry,2009-05-02 00:58:34+08:00,3199,241756,32226
RissiPalmer,2009-01-06 11:55:08+08:00,3167,9179,18929
MsPattiPatti,2010-04-05 23:29:26+08:00,434,387274,1703
MsGladysKnight,2010-03-04 02:34:24+08:00,881,405437,4211
HowardU,2009-03-28 09:21:30+08:00,924,103995,31671
jonimitchell,2009-05-13 09:16:19+08:00,9,113189,348
jaydedonovan,2009-01-06 19:40:45+08:00,1383,16039,28884
PATGREENMUSIC,2009-04-15 07:39:39+08:00,1529,53132,990
iamTchami,2013-02-06 11:18:34+08:00,712,152885,4187
HueyLewisNews,2011-08-17 22:28:51+08:00,53,62259,6324
davecobb7,2013-06-23 08:53:29+08:00,286,11416,246
OfficialAitch,2016-07-29 07:17:47+08:00,146,162269,1609
thegetupkids,2009-05-19 02:04:26+08:00,55,18457,1283
savestheday,2009-04-20 23:26:44+08:00,1075,26493,5029
WeAreTheUsed,2008-03-14 06:25:53+08:00,9024,175375,4763
BLACKPINK,2020-06-19 13:32:29+08:00,0,4915187,422
BillandTed3,2011-04-20 14:42:55+08:00,46,114566,4183
Winter,2010-02-08 03:31:58+08:00,1997,141050,10122
verzuzonline,2020-04-11 04:53:21+08:00,120,212710,5645
MonicaDenise,2009-05-29 06:37:17+08:00,655,1719267,34475
idlesband,2010-06-07 22:35:08+08:00,40,76329,177
gnash,2009-04-10 07:11:48+08:00,327,262727,13827
CharlieSloth,2009-03-15 23:32:15+08:00,3985,233108,76137
MusicNegrito,2013-11-06 08:39:21+08:00,13746,75740,64344
strombo,2008-12-17 08:09:04+08:00,14761,860426,48204
EstelleDarlings,2008-12-15 03:58:01+08:00,2211,793188,97261
TyBentli,2009-02-14 09:08:46+08:00,3454,7870,11671
wardguenther,2008-06-25 00:24:24+08:00,141,2567,2461
TieraMusic,2012-01-16 11:21:40+08:00,61,13523,5188
HanumanWelch,2009-04-22 02:23:02+08:00,1210,2069,15464
SandraPena,2009-02-24 05:19:54+08:00,782,13857,42235
Briggs,2009-02-23 22:06:18+08:00,479,59980,5507
cuppymusic,2010-12-15 21:59:30+08:00,256,3573334,17704
AriMelber,2008-07-15 23:57:23+08:00,9081,902584,53813
SabiSoundz,2010-01-11 05:28:51+08:00,554,20801,20273
