date,created_at,num_of_tweet,favourite_count,followers_count,friends_count,profile_img
2021-08-25,2009-09-16 06:49:25+08:00,36276,359,9879029,2062,https://pbs.twimg.com/profile_images/1310656963223584768/hr40_0pb.png
2021-08-26,2009-09-16 06:49:25+08:00,36281,359,9879629,2062,https://pbs.twimg.com/profile_images/1310656963223584768/hr40_0pb.png
2021-08-27,2009-09-16 06:49:25+08:00,36286,359,9883494,2062,https://pbs.twimg.com/profile_images/1431080866864795649/d36cHFK6.jpg
2021-08-28,2009-09-16 06:49:25+08:00,36302,359,9887001,2062,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-08-29,2009-09-16 06:49:25+08:00,36308,359,9888260,2063,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-08-30,2009-09-16 06:49:25+08:00,36310,359,9889144,2063,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-08-31,2009-09-16 06:49:25+08:00,36317,359,9889571,2063,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-01,2009-09-16 06:49:25+08:00,36322,359,9890319,2063,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-02,2009-09-16 06:49:25+08:00,36328,359,9891380,2064,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-03,2009-09-16 06:49:25+08:00,36333,359,9892179,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-04,2009-09-16 06:49:25+08:00,36342,359,9895171,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-05,2009-09-16 06:49:25+08:00,36347,359,9896408,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-06,2009-09-16 06:49:25+08:00,36350,359,9897080,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-07,2009-09-16 06:49:25+08:00,36356,360,9897583,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-08,2009-09-16 06:49:25+08:00,36362,360,9898289,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-09,2009-09-16 06:49:25+08:00,36368,361,9898850,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-10,2009-09-16 06:49:25+08:00,36377,361,9899551,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-11,2009-09-16 06:49:25+08:00,36388,361,9900633,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-12,2009-09-16 06:49:25+08:00,36388,361,9901147,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-13,2009-09-16 06:49:25+08:00,36393,361,9901677,2064,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-14,2009-09-16 06:49:25+08:00,36398,361,9902430,2063,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-15,2009-09-16 06:49:25+08:00,36402,361,9903481,2062,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-16,2009-09-16 06:49:25+08:00,36408,361,9903890,2063,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-17,2009-09-16 06:49:25+08:00,36415,361,9904434,2064,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-18,2009-09-16 06:49:25+08:00,36426,361,9904996,2064,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-19,2009-09-16 06:49:25+08:00,36430,361,9905639,2064,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-20,2009-09-16 06:49:25+08:00,36432,361,9906259,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-21,2009-09-16 06:49:25+08:00,36430,361,9906859,2064,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-22,2009-09-16 06:49:25+08:00,36436,362,9907511,2065,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-23,2009-09-16 06:49:25+08:00,36442,362,9908277,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
