tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
"New music from norteño legends @tigresdelnorte. 🙌
Listen to #YSuPalabraEsLaLey #HomenajeAVicenteFernández now.
https://t.co/u9YiKxU040",2020-02-07 06:26:32+08:00,13,79,['YSuPalabraEsLaLey'],no_media,['tigresdelnorte'],True,False
"17 years ago today. 🤯
Where were you the first time you heard @50cent's #GetRichorDieTryin?
https://t.co/WJqIo75Aqh",2020-02-07 01:32:00+08:00,41,279,['GetRichorDieTryin'],no_media,['50cent'],True,False
".@madisonbeer is back with #GoodinGoodbye. 👋🚀
Download her new song &amp; listen anywhere.
https://t.co/UppooBGy20",2020-02-06 10:15:27+08:00,24,142,['GoodinGoodbye'],no_media,['madisonbeer'],True,False
"“He showed me so much love when we linked in the studio.”
Listen to @KAASHMYCHECKS x @6LACK’s #LoveSongsRemix on… https://t.co/qOd0NArFYA",2020-02-06 06:20:46+08:00,18,152,['LoveSongsRemix'],no_media,['KAASHMYCHECKS'],True,False
"“It’s a lighthearted glimpse into the darker parts of society: the good, the bad, and the ugly.”
@5SOS is back with… https://t.co/rFBIVsaFiO",2020-02-06 02:00:04+08:00,464,1643,[],no_media,['5SOS'],True,False
"#LoyalRemix 🔥
@partynextdoor x @Drake x @sanbenito.
Listen now.
https://t.co/qPNt3Zt2Zq",2020-02-07 13:20:40+08:00,241,1015,['LoyalRemix'],no_media,['partynextdoor'],True,False
"New @MeekMill x @jtimberlake. 🤯
Listen to #Believe now.
https://t.co/302401lXlG https://t.co/nJ7xKo0Qp4",2020-02-07 13:05:35+08:00,300,1513,['Believe'],photo,['MeekMill'],True,False
"So close to #Changes. 🙏
Listen to @justinbieber x @QuavoStuntin’s #Intentions now.
https://t.co/0iI1BEedn8",2020-02-07 13:02:56+08:00,3388,11958,['Changes'],no_media,['justinbieber'],True,False
"New @VictoriaMonet is here. 🤎✨
Listen to #Moment on #NewMusicDaily now.
https://t.co/OmvaaDaIoc https://t.co/XhA4h3k5Iu",2020-02-07 09:24:07+08:00,36,290,['Moment'],video,['VictoriaMonet'],True,False
"Former #UpNext artist @mreazi leads the #AfricaNow playlist with #Kpalanga.
Listen to his new song now:… https://t.co/zRzYgVo6sI",2020-02-07 08:17:09+08:00,41,294,['UpNext'],no_media,['mreazi'],True,False
