date,created_at,num_of_tweet,favourite_count,followers_count,friends_count,profile_img,location
2021-08-25,2008-11-07 20:14:28+08:00,35742,13512,4436995,17772,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-08-26,2008-11-07 20:14:28+08:00,35754,13521,4439141,17772,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-08-27,2008-11-07 20:14:28+08:00,35765,13533,4441746,17772,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-08-28,2008-11-07 20:14:28+08:00,35776,13540,4445681,17769,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-08-29,2008-11-07 20:14:28+08:00,35776,13541,4448187,17769,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-08-30,2008-11-07 20:14:28+08:00,35780,13547,4450922,17770,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-08-31,2008-11-07 20:14:28+08:00,35793,13553,4452653,17768,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-01,2008-11-07 20:14:28+08:00,35797,13557,4454785,17771,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-02,2008-11-07 20:14:28+08:00,35816,13552,4456846,17771,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-03,2008-11-07 20:14:28+08:00,35831,13557,4458463,17771,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-04,2008-11-07 20:14:28+08:00,35844,13570,4462430,17771,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-05,2008-11-07 20:14:28+08:00,35847,13570,4464859,17771,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-06,2008-11-07 20:14:28+08:00,35847,13570,4466785,17770,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-07,2008-11-07 20:14:28+08:00,35846,13569,4467815,17772,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-08,2008-11-07 20:14:28+08:00,35853,13572,4469396,17772,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-09,2008-11-07 20:14:28+08:00,35859,13574,4470601,17774,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-10,2008-11-07 20:14:28+08:00,35881,13582,4472010,17773,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-11,2008-11-07 20:14:28+08:00,35895,13588,4474067,17773,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
2021-09-12,2008-11-07 20:14:28+08:00,35895,13603,4475267,17773,https://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2.jpg,
