tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
RT @STR4WBERRYLIPPY: #spotifypenguins @yungblud LMAO,2020-12-02 07:18:25+08:00,5,0,['spotifypenguins'],no_media,['yungblud'],False,False
@nintndotara @FallGuysGame Sweet dreams 😏,2020-08-19 22:52:22+08:00,1,4,[],no_media,['nintndotara'],False,False
@rosemarie0120 How could you not jam out to these 👏,2020-08-19 22:50:34+08:00,0,2,[],no_media,['rosemarie0120'],False,False
@CamiloNieto Sounds like a great week 🌈👑,2020-08-19 22:48:56+08:00,0,51,[],no_media,['CamiloNieto'],False,False
@ahm_dfs Everybody Falls = song of the summer 🔥,2020-08-19 22:43:45+08:00,0,3,[],no_media,['ahm_dfs'],False,False
@timthetatman Today's the day 👑,2020-08-19 22:19:15+08:00,24,3080,[],no_media,['timthetatman'],False,False
"Do you hear the @FallGuysGame soundtrack in your dreams? 

Or nightmares?... @timthetatman 

https://t.co/lCzdWJDMxM",2020-08-19 22:11:42+08:00,1118,16163,[],no_media,['FallGuysGame'],True,False
"RT @RapCaviar: .@taztaylor, @nickmira_ and the @InternetMoney crew are taking over the #InternetPeople playlist with some of their favorite…",2020-08-19 06:24:01+08:00,72,0,[],no_media,['RapCaviar'],False,False
hi. @billieeilish shares some of her favorite tracks in this week's #Lorem playlist https://t.co/QJ7sXPjU3g 🥺 https://t.co/kB2bZiD4mE,2020-08-19 03:15:38+08:00,991,16913,['Lorem'],video,['billieeilish'],True,False
"Spend some alone time with @theweeknd 🕙 https://t.co/3uyNKZRTMf 
#AloneWithMe https://t.co/aAsGK0UGge",2020-08-19 00:14:57+08:00,935,7903,['AloneWithMe'],animated_gif,['theweeknd'],True,False
@danielaoutsold @aritanhit @taylorswift13 You're right... 😉,2020-08-18 22:44:35+08:00,1,4,[],no_media,['danielaoutsold'],False,False
@itscornelialove @taylorswift13 She's got us in our feelings ❤️,2020-08-18 22:09:12+08:00,1,2,[],no_media,['taylorswift13'],False,False
@HolleyPetrie500 The lakes are the only place we want to be ❤️,2020-08-18 22:07:47+08:00,1,6,[],no_media,['HolleyPetrie500'],False,False
@Alphaxbetax1 So proud of them 💜,2020-08-21 22:08:56+08:00,1,11,[],no_media,['Alphaxbetax1'],False,False
@silaywithluv @BTS_twt The video is EVERYTHING 🔥,2020-08-21 22:07:38+08:00,5,58,[],no_media,['silaywithluv'],False,False
@junam_jung Of course 😍,2020-08-21 22:06:58+08:00,0,5,[],no_media,['junam_jung'],False,False
@JihaneOugrirane The boys have done it again 💜,2020-08-21 22:06:06+08:00,0,12,[],no_media,['JihaneOugrirane'],False,False
"Okay, now that you've listened, what's your favorite part of #BTS_Dynamite?",2020-08-21 12:32:22+08:00,2417,8687,['BTS_Dynamite'],no_media,[],False,False
.@Pharrell and #JayZ come together to tell a story everyone needs to hear. #Entrepreneur is here… https://t.co/rlvo9lQBWQ,2020-08-21 12:03:00+08:00,51,317,['JayZ'],no_media,['Pharrell'],True,False
You hear that #ARMY? #BTS bring the fire on their new single #Dynamite 🧨 Disco with us all weekend long… https://t.co/OhcAFNIfmT,2020-08-21 12:00:13+08:00,140948,466093,['ARMY'],no_media,[],True,False
"What are your daily affirmations? @lindsayell dives into hers on her empowering new album, #hearttheory ❤️

Stream… https://t.co/YNEiITs9m7",2020-08-21 04:07:33+08:00,21,245,['hearttheory'],no_media,['lindsayell'],True,False
"🎨 @nataliastuyk 
🎶 @Disclosure &amp; Boz Scaggs",2020-08-21 03:29:43+08:00,2,50,[],no_media,['nataliastuyk'],False,False
"RT @spotifypodcasts: This is going to be fun ✨ @AshleyGraham is bringing the podcast love, and everyone’s invited!

Join #ListenUpWithAshle…",2020-08-20 23:16:59+08:00,11,0,[],no_media,['spotifypodcasts'],False,False
@bae_in_love What's the only thing better than New Hope Club? Extended New Hope Club 💚,2020-08-20 22:42:32+08:00,3,8,[],no_media,['bae_in_love'],False,False
@HollywoodRecs @NewHopeClub So proud of them ❤️,2020-08-20 22:38:44+08:00,1,8,[],no_media,['HollywoodRecs'],False,False
"@wallsvibes @NewHopeClub Especially 
https://t.co/5Kof0c3qEP",2020-08-20 22:36:47+08:00,0,5,[],no_media,['wallsvibes'],True,False
"@STYLVEGAS @NewHopeClub Can't stop listening to Turning Red ❤️ 
https://t.co/FZT4ATG0Kd",2020-08-20 22:34:16+08:00,0,0,[],no_media,['NewHopeClub'],True,False
.@lennonstella and @KevinOGarrett got us in our feelings over their rendition of #EveryTimeYouGoAway for… https://t.co/kULV7NHS4g,2020-08-20 07:29:19+08:00,13,209,['EveryTimeYouGoAway'],no_media,['lennonstella'],True,False
"@Calpmaar @timthetatman 😅

https://t.co/KqqK7fRFz9",2020-08-20 04:51:16+08:00,0,59,[],no_media,['Calpmaar'],True,True
@timthetatman 👏👑,2020-08-20 04:40:09+08:00,16,749,[],no_media,['timthetatman'],False,False
RT @spotifypodcasts: Here’s a good story about the time that @MichelleObama’s big brother @CraigMalRob had the “where do you see yourself i…,2020-08-20 03:19:49+08:00,28,0,[],no_media,['spotifypodcasts'],False,False
.@NewHopeClub just dropped the extended version of their self-titled album #NewHopeClub. Hear the personal tracks n… https://t.co/UUf5foJIIY,2020-08-20 02:40:27+08:00,276,1599,['NewHopeClub'],no_media,['NewHopeClub'],True,False
@alexa_legacy Now you can play the winning track on repeat and feel like a champion 👑 https://t.co/vbemxIFN0d,2020-08-19 23:13:09+08:00,0,10,[],no_media,['alexa_legacy'],True,False
"@jukiokallio It's a masterpiece, thank you both 🙏",2020-08-19 23:10:11+08:00,1,140,[],no_media,['jukiokallio'],False,False
@frazzlet1 There's absolutely nothing weird about this 🤩,2020-08-19 22:55:31+08:00,0,9,[],no_media,['frazzlet1'],False,False
@mintakpurpleyou @bts_bighit https://t.co/bZZVAXtceq,2020-08-21 22:17:06+08:00,2,50,[],animated_gif,['mintakpurpleyou'],False,False
@SE0KRJlN So much choice 😍,2020-08-21 22:15:56+08:00,1,16,[],no_media,[],False,False
@Hoseokbestboy 💚 https://t.co/AhKm4fZN5E,2020-08-21 22:12:32+08:00,19,217,[],animated_gif,['Hoseokbestboy'],False,False
@jessie58459132 @bts_bighit So are we! They really learned well 😍,2020-08-21 22:09:18+08:00,0,9,[],no_media,['bts_bighit'],False,False
#everythingmeansnothing but this album is something 💙 Listen to @iamblackbear https://t.co/aASvAScqpQ,2020-08-22 07:50:10+08:00,436,2260,['everythingmeansnothing'],no_media,['iamblackbear'],True,False
Country’s Renaissance man @TheTimMcGraw dropped his 15th studio album on us today. Take #HereOnEarth for a spin 🌎… https://t.co/E26jWI74CJ,2020-08-22 05:16:41+08:00,41,369,['HereOnEarth'],no_media,['TheTimMcGraw'],True,False
Oh and when we said something sweet... 😉🍦 #IceCream,2020-08-22 05:08:41+08:00,1813,5640,['IceCream'],no_media,[],False,False
"Are we dreaming? @troyesivan takes us inside his mind with his latest EP, #InADream 💭  https://t.co/glgTgrITBh https://t.co/WCw30tDpmz",2020-08-22 04:00:00+08:00,716,6500,['InADream'],photo,['troyesivan'],True,False
Ready to #DanceLikeNobodysWatching? 💃 @IGGYAZALEA and @Tinashe bring the beat https://t.co/Xn1OD25Rcf https://t.co/kDesNuC74I,2020-08-22 03:50:00+08:00,512,2126,['DanceLikeNobodysWatching'],photo,['IGGYAZALEA'],True,False
.@maluma se fue pero no te preocupes… llegó #PapiJuancho 😈 https://t.co/Q1vENMqleV https://t.co/0e8PLNtgQg,2020-08-22 03:30:38+08:00,85,481,['PapiJuancho'],photo,['maluma'],True,False
Another smash from @thekillers 💥 Their new anthem-packed album #ImplodingTheMirage is ready to be played loud… https://t.co/IWr4YMuII9,2020-08-21 23:08:08+08:00,179,1075,['ImplodingTheMirage'],no_media,['thekillers'],True,False
@Ella99317575 #DynamiteMV is absolute FIRE 🔥,2020-08-21 22:52:05+08:00,2,40,['DynamiteMV'],no_media,['Ella99317575'],False,False
@KARMA_is_ARMY 🧨 https://t.co/ZJD56OvHDQ,2020-08-21 22:50:49+08:00,14,174,[],animated_gif,['KARMA_is_ARMY'],False,False
