friends_screen_name,created_at,friends_count,followers_count,tweet_count
Amb3rMark,2016-01-30 08:24:22+08:00,339,10989,2999
LukeBryanOnline,2008-10-31 05:14:38+08:00,10546,9400687,7949
LanaDelRey,2009-06-07 10:29:09+08:00,1217,9795290,370
ebhonijade,2011-04-24 09:22:19+08:00,513,5652,10866
denzelcurry,2011-06-18 11:57:54+08:00,723,497843,92026
yungbabytate,2014-01-13 03:31:38+08:00,1230,95775,78091
Olivia_Rodrigo,2015-05-18 01:27:07+08:00,297,1537869,823
PRIYARAGUMUSIC,2018-10-06 20:58:36+08:00,125,1740,316
YouTubeBrasil,2011-09-22 05:33:31+08:00,229,519402,9924
zacbrownband,2008-12-15 06:57:23+08:00,3904,1643877,6031
Anitta,2010-05-09 11:58:23+08:00,734,14778932,51000
citygirls,2018-09-15 07:17:57+08:00,5,101920,539
TheRock,2011-02-12 06:14:10+08:00,320,15457040,25696
snailmail,2021-07-22 03:12:58+08:00,52,4892,43
TechN9ne,2008-10-04 02:47:15+08:00,1408,568729,19377
DonToliver,2011-07-04 16:46:59+08:00,112,357239,14198
BambiAhmad,2018-06-21 05:27:20+08:00,51,14,3179
MickeyGuyton,2009-04-14 15:28:47+08:00,712,171488,15738
LunaLunaBand,2017-05-09 08:46:03+08:00,340,6912,2751
InnerWav,2020-03-21 18:37:51+08:00,346,3059,792
JellyRoll615,2009-04-23 08:11:42+08:00,2022,84122,3917
Boi1da,2009-04-23 01:58:08+08:00,1990,205707,16304
KIIARA,2015-05-30 09:32:47+08:00,22,50233,10739
ABBA,2018-06-08 17:08:19+08:00,1,98204,394
wiffygriffy,2018-11-22 18:05:56+08:00,103,16822,586
AIMAwards,2011-05-11 18:53:46+08:00,921,8048,5515
bitchimjunior,2018-03-27 16:40:24+08:00,121,558,341
ATEEZofficial,2017-10-26 13:06:43+08:00,3,2886874,9621
laineywilson,2011-05-27 01:00:57+08:00,520,11118,3682
bellapoarch,2020-04-24 11:25:59+08:00,95,802659,903
ThatSubUrban,2013-04-03 10:23:49+08:00,57,35303,1478
jinjinofficial,2009-05-15 23:22:51+08:00,1115,9137,17600
Diane_Warren,2009-07-02 06:03:28+08:00,531,69589,24776
ITZYofficial,2018-11-14 13:31:22+08:00,5,3912459,3849
jordysongs,2009-10-05 04:14:36+08:00,340,1735,2172
IngridAndress,2011-02-21 02:49:24+08:00,218,17076,3239
SeedheMaut,2017-02-04 17:20:24+08:00,6,2691,254
ennyintegrity,2009-09-29 00:21:41+08:00,395,9241,19784
se_so_neon,2016-04-08 18:56:53+08:00,21,12020,1636
tokischa_,2018-12-23 15:27:52+08:00,99,88661,2373
raveena_aurora,2015-11-27 03:27:43+08:00,796,81992,4026
ambarlucid,2017-07-26 03:58:23+08:00,319,6287,5552
doul_xx,2017-06-19 00:46:21+08:00,0,8516,795
ebhoni,2011-04-24 09:22:19+08:00,540,5782,10986
TPAIN,2009-04-01 13:02:12+08:00,2389,1300659,25797
ambermark,2016-01-30 08:24:22+08:00,342,11530,3101
swedishousemfia,2009-04-23 08:39:15+08:00,6,2008265,510
CHVRCHES,2011-12-17 12:26:01+08:00,146,356796,1592
