tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
Welcome to the world of @paaulolondra. Play Homerun now → https://t.co/AcAfBtAB45 https://t.co/AAuBOiksnd,2019-05-26 00:00:10+08:00,3,19,[],animated_gif,['Paaulolondra'],True,False
Celebrate #AfricaDay 🌍 with the continent’s hottest current voices on our Time for Africa Playlist 🔈 s/o… https://t.co/4lLZVzQKqT,2019-05-25 22:00:13+08:00,10,49,['AfricaDay'],no_media,[],True,False
We love a duet 🎤🎤 @juanes x @alessiacara #QuererMejor Play now → https://t.co/2tWazA6l6G https://t.co/DoAaLhecR8,2019-05-25 04:00:09+08:00,23,89,['QuererMejor'],animated_gif,['juanes'],True,False
.@gwenstefani’s solo debut pushed pop into the 2000s with an eclectic style that was awesomely bananas 🍌🍌 Play now… https://t.co/XaHXA5akbA,2019-05-26 02:00:07+08:00,79,173,[],no_media,['gwenstefani'],True,False
🔍 @djjazzyjeff215 @Pharrell @snoopdogg 🔍 Don’t know all the words? 🤷You can still find your song of the summer 😎🏖 S… https://t.co/O6u5tGIbZv,2019-05-29 01:12:56+08:00,6,31,[],no_media,['djjazzyjeff215'],True,False
🎶 All you are to me is one big anticlimax 🎶 The new single from @maemuller_ is here → https://t.co/v0a9P7WOZC https://t.co/tojiI0uuZ0,2019-05-28 00:00:09+08:00,3,32,[],animated_gif,['maemuller_'],True,False
"Our R&amp;B Wave Playlist 🔈 will help you kick back this Memorial Day with the genre’s most exciting new music, from ep… https://t.co/KMErykVKw6",2019-05-27 23:50:28+08:00,3,32,[],no_media,[],True,False
"Set the tone for summer 😎 with this fun, flirty, forward-thinking video for V by @JAYBUMAOM ✌ 🎥 dir. by #TigerCave… https://t.co/DqKXTKLkAv",2019-05-27 02:00:06+08:00,79,133,['TigerCave'],no_media,['JAYBUMAOM'],True,False
Still swooning from the legendary @samsmith debut In the Lonely Hour 💖released 5 years ago today →… https://t.co/7yhVNtuNfw,2019-05-27 00:00:07+08:00,14,73,[],no_media,['samsmith'],True,False
The legend @perryfarrell is here with his first solo record since 2001 😲 Play now → https://t.co/8FkkJzFP6h https://t.co/Q8YE0WddTH,2019-05-26 22:00:11+08:00,0,22,[],animated_gif,['perryfarrell'],True,False
"RT @billieeilish: Watch Billie's Artist Spotlight Story, the final video in Billie's ""A Snippet Into Billie's Mind"" series, now on @YouTube…",2019-05-29 03:05:42+08:00,2221,0,[],no_media,['billieeilish'],False,False
"I'll tell you what I want, what I really really want 🐬🐬🐬 @HervePagez x @diplo ft. @charli_xcx →… https://t.co/GnZYA6WhC9",2019-05-31 00:49:08+08:00,47,245,[],no_media,['HervePagez'],True,False
Where were you when you first saw ‘Problem’ by @ArianaGrande 5 years ago?? 🤔 → https://t.co/NOFKvT33JG https://t.co/iDZy0iS4wb,2019-05-31 00:03:54+08:00,6,56,[],animated_gif,['ArianaGrande'],True,False
RT @bastilledan: “JOY” video premiere // 5:30BST | 12:30EST | 9:30PST // Set your reminders and join us here at 5PM BST for a chat https://…,2019-05-30 23:27:23+08:00,79,0,[],no_media,['bastilledan'],False,False
"🎶 I know the things I should say, but I'm a little bit shy, shy-y 🎶 Play the latest from @_alexanderstew now →… https://t.co/SGfYk6F5kX",2019-05-30 05:21:55+08:00,5,35,[],no_media,['_alexanderstew'],True,False
A portrait of love. @tydollasign 😈 Purple Emoji (ft. @JColeNC) → https://t.co/334IwuPMCy https://t.co/4kUc55WXoS,2019-05-30 04:01:47+08:00,25,176,[],animated_gif,['tydollasign'],True,False
Six new songs from @PRETTYMUCH 😍 Play the Phases EP now → https://t.co/yn4SKGKSv4 https://t.co/rqMfctZfUi,2019-05-29 23:15:00+08:00,223,1502,[],video,['PRETTYMUCH'],True,False
🎷 @unclesego + @Fkjmusic finally came through with the visual for Tadow → https://t.co/5nTjqSVIc0 https://t.co/DBdAxp1Ph2,2019-05-29 05:20:29+08:00,27,95,[],animated_gif,['UncleSego'],True,False
“I at least want to give people the smallest amount of what it’s like in my brain” The final chapter of… https://t.co/BQQ8P708SH,2019-05-29 04:02:50+08:00,15,78,[],no_media,[],True,False
🧡 @katyperry is coming and the countdown starts now #NeverReallyOver Join the chat → https://t.co/LzQPJ5QkvN https://t.co/dXePTifBDL,2019-05-31 11:02:02+08:00,634,1501,['NeverReallyOver'],video,['katyperry'],True,False
RT @denzelcurry: YOO! ONE TIME FOR @youtubemusic FEATURING ME AS THEIR ARTIST ON THE RISE! ZUU OUT TOMORROW!! https://t.co/vcLa2uRuXf https…,2019-05-31 04:16:11+08:00,203,0,[],no_media,['denzelcurry'],True,False
Remembering the legendary Big L on his birthday 🌹✨🎤 → https://t.co/pkHlDjnmjs https://t.co/9zJiahxNQw,2019-05-31 03:29:50+08:00,7,31,[],animated_gif,[],True,False
A new @rosaliavt visual 👏👏👏👏👏 Aute Cuture → https://t.co/MqgLcvu5Qs https://t.co/tMxgaDfZd2,2019-05-31 02:12:53+08:00,13,44,[],animated_gif,[],True,False
What do you do when no one is watching? Joy is the latest from @bastilledan. Play now → https://t.co/aT1ws5JP7x https://t.co/5EFbRhpW5Q,2019-05-31 01:01:15+08:00,49,385,[],animated_gif,['bastilledan'],True,False
